job_id,job_name,status,user,target,dataset,algorithm,community_cost_eur,cost_bau_eur,cost_delta_to_bau_eur,cost_ratio_to_bau,ev_min_acceptable_feasible_rate,ev_within_tolerance_feasible_rate,electrical_violation_kwh,peak_daily_ratio_to_bau,peak_all_time_ratio_to_bau,community_import_kwh,community_export_kwh,community_solar_self_consumption_rate,battery_throughput_kwh,v2g_export_kwh
27694ecd-25a9-4fcc-b8f9-09c2ff14afef,15m-basic,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCBasicPolicy,24749.645457200313,27303.0466934801,-2553.4012362797876,0.9064792561450832,1.0,0.9821818181818182,0.0,0.881105062921565,0.9084818251023539,145637.41035897564,60598.93544254901,0.5833582334923598,3248.944614791777,0.0
66050c41-6454-4f6e-b49d-d5c2b65f1f0b,15m-smart,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCSmartPolicy,23285.59413448094,27303.0466934801,-4017.452558999161,0.8528569868373511,0.9992727272727273,0.9814545454545455,0.0,0.8042969378040943,0.9367757560638049,139607.3198297417,52952.14398681733,0.6358756856827981,19402.01024986501,39.739107981324196
86d498c1-f064-449d-b9b2-1ff6078051c7,15m-comm,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCCommunityPolicy,22839.312415357534,27303.0466934801,-4463.734278122567,0.8365114952834735,0.9992727272727273,0.9810909090909091,0.0,0.873447400535201,1.064788024065803,136608.33949898777,49249.62239335538,0.6680974113005369,26877.304112661397,85.63264827430248
708916e0-c9de-4da4-9dd1-787114c9eed9,15m-mctx-s123,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,2800.5278921511326,3159.9350916864205,-359.4071995352879,0.8862612081871984,1.0,0.9968847352024922,0.0,0.7730140505529484,0.7704486187052272,17059.81943772728,5085.398808553294,0.7280947220815088,3252.555527469609,43.18592116236687
623ab450-4fc6-4666-ba04-bf6b8b628c97,15m-mctx-s456,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,2800.5278921511326,3159.9350916864205,-359.4071995352879,0.8862612081871984,1.0,0.9968847352024922,0.0,0.7730140505529484,0.7704486187052272,17059.81943772728,5085.398808553294,0.7280947220815088,3252.555527469609,43.18592116236687
bab75925-8b70-4ec0-94cc-6db9eac552a9,15w4-smart,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCSmartPolicy,2876.374822635592,3159.9350916864205,-283.56026905082854,0.9102638944081931,1.0,0.9719626168224299,0.0,0.757669644559326,0.777977306616463,17560.94010640352,5698.695112107789,0.6948401890895185,2416.163314628997,8.122502267360687
48ab1556-ceb4-499c-ad72-c583cf7cac79,15w4-comm,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCCommunityPolicy,2806.833427989203,3159.9350916864205,-353.10166369721765,0.8882566719087982,1.0,0.9719626168224299,0.0,0.7650063138922748,0.777977306616463,17100.24616676447,5112.371887101125,0.7266467270567614,3260.666054567555,15.292607232928276
dd906f23-5522-4979-a118-d3f14e51240d,15w16-smart,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCSmartPolicy,9531.837589552637,11292.805614570836,-1760.9680250181991,0.8440628409696467,1.0,0.9804992199687987,0.0,0.7791415615051019,0.9367757560638049,70022.71986763079,18146.67471114127,0.6761526659833375,8407.992652960005,32.94289181381464
059f83f6-2670-4114-afe8-f8a968a3beaf,15w16-comm,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCCommunityPolicy,9419.995704688428,11292.805614570836,-1872.8099098824077,0.8341590235586835,1.0,0.9804992199687987,0.0,0.7964796486387679,0.9183782286648372,68901.30730899953,16722.90739035792,0.7063030140829751,11268.710084576509,59.294532135128975
5d5e16aa-1f91-4660-911b-9d5d1a632906,15m-m16e2-123,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9407.045639462516,11292.805614570836,-1885.7599751083198,0.8330122699823002,0.999219968798752,0.9914196567862714,14.911899487966366,0.7895102183573135,0.8472918027359049,68842.35871130544,15787.284620518396,0.7202785523334836,14980.594715621613,120.05241674651029
